time_ps,cv1_distance_A
7.079999923706054688e+00,3.283910274505615234e+00
7.119999885559082031e+00,3.347066164016723633e+00
7.159999847412109375e+00,3.328720092773437500e+00
7.199999809265136719e+00,3.327797174453735352e+00
7.239999771118164062e+00,3.236482381820678711e+00
7.279999732971191406e+00,3.451035261154174805e+00
7.319999694824218750e+00,3.278914213180541992e+00
7.359999656677246094e+00,3.322059392929077148e+00
7.399999618530273438e+00,3.282999277114868164e+00
7.440000057220458984e+00,3.438850402832031250e+00
7.480000019073486328e+00,3.245125770568847656e+00
7.519999980926513672e+00,3.395927667617797852e+00
7.559999942779541016e+00,3.325529336929321289e+00
7.599999904632568359e+00,3.307842493057250977e+00
7.639999866485595703e+00,3.336875200271606445e+00
7.679999828338623047e+00,3.352612733840942383e+00
7.719999790191650391e+00,3.289116859436035156e+00
7.759999752044677734e+00,3.334805965423583984e+00
7.799999713897705078e+00,3.273726463317871094e+00
7.839999675750732422e+00,3.364598751068115234e+00
7.879999637603759766e+00,3.371393442153930664e+00
7.919999599456787109e+00,3.353167057037353516e+00
7.960000038146972656e+00,3.247231960296630859e+00
8.000000000000000000e+00,3.414027214050292969e+00
8.039999961853027344e+00,3.419412374496459961e+00
8.079999923706054688e+00,3.383915185928344727e+00
8.119999885559082031e+00,3.343174219131469727e+00
8.159999847412109375e+00,3.303101539611816406e+00
8.199999809265136719e+00,3.470487833023071289e+00
8.239999771118164062e+00,3.376428127288818359e+00
8.279999732971191406e+00,3.375446081161499023e+00
8.319999694824218750e+00,3.482152223587036133e+00
8.359999656677246094e+00,3.336326360702514648e+00
8.399999618530273438e+00,3.450522184371948242e+00
8.439999580383300781e+00,3.388750076293945312e+00
8.479999542236328125e+00,3.385014295578002930e+00
8.519999504089355469e+00,3.395910263061523438e+00
8.559999465942382812e+00,3.311619997024536133e+00
8.599999427795410156e+00,3.346734046936035156e+00
8.639999389648437500e+00,3.423530578613281250e+00
8.679999351501464844e+00,3.381431579589843750e+00
8.720000267028808594e+00,3.271352291107177734e+00
8.760000228881835938e+00,3.444005012512207031e+00
8.800000190734863281e+00,3.350908279418945312e+00
8.840000152587890625e+00,3.369500398635864258e+00
8.880000114440917969e+00,3.405123710632324219e+00
8.920000076293945312e+00,3.413589954376220703e+00
8.960000038146972656e+00,3.298855781555175781e+00
9.000000000000000000e+00,3.416200876235961914e+00
9.039999961853027344e+00,3.285681724548339844e+00
9.079999923706054688e+00,3.349112033843994141e+00
9.119999885559082031e+00,3.412807226181030273e+00
9.159999847412109375e+00,3.393324851989746094e+00
9.199999809265136719e+00,3.342937707901000977e+00
9.239999771118164062e+00,3.356782913208007812e+00
9.279999732971191406e+00,3.392131090164184570e+00
9.319999694824218750e+00,3.448331594467163086e+00
9.359999656677246094e+00,3.349735736846923828e+00
9.399999618530273438e+00,3.361608743667602539e+00
9.439999580383300781e+00,3.453679084777832031e+00
9.479999542236328125e+00,3.297900199890136719e+00
9.519999504089355469e+00,3.413171291351318359e+00
9.559999465942382812e+00,3.309015512466430664e+00
9.599999427795410156e+00,3.393639802932739258e+00
9.639999389648437500e+00,3.439450740814208984e+00
9.679999351501464844e+00,3.282001495361328125e+00
9.719999313354492188e+00,3.461446285247802734e+00
9.760000228881835938e+00,3.293127059936523438e+00
9.800000190734863281e+00,3.376885890960693359e+00
9.840000152587890625e+00,3.380660295486450195e+00
9.880000114440917969e+00,3.312989473342895508e+00
9.920000076293945312e+00,3.403492212295532227e+00
9.960000038146972656e+00,3.367000579833984375e+00
1.000000000000000000e+01,3.380906820297241211e+00
1.003999996185302734e+01,3.319120407104492188e+00
1.007999992370605469e+01,3.360768318176269531e+00
1.011999988555908203e+01,3.458056688308715820e+00
1.015999984741210938e+01,3.293958902359008789e+00
1.019999980926513672e+01,3.425647497177124023e+00
1.023999977111816406e+01,3.347376346588134766e+00
1.027999973297119141e+01,3.384988307952880859e+00
1.031999969482421875e+01,3.360137462615966797e+00
1.035999965667724609e+01,3.423964977264404297e+00
1.039999961853027344e+01,3.274160146713256836e+00
1.043999958038330078e+01,3.467576980590820312e+00
1.047999954223632812e+01,3.344161033630371094e+00
1.051999950408935547e+01,3.394428491592407227e+00
1.055999946594238281e+01,3.422518730163574219e+00
1.059999942779541016e+01,3.360718250274658203e+00
1.063999938964843750e+01,3.360057592391967773e+00
1.067999935150146484e+01,3.386362075805664062e+00
1.071999931335449219e+01,3.347766160964965820e+00
1.076000022888183594e+01,3.354163408279418945e+00
1.080000019073486328e+01,3.390357971191406250e+00
1.084000015258789062e+01,3.338355064392089844e+00
1.088000011444091797e+01,3.360276222229003906e+00
1.092000007629394531e+01,3.418749570846557617e+00
1.096000003814697266e+01,3.368047952651977539e+00
1.100000000000000000e+01,3.300614595413208008e+00
1.103999996185302734e+01,3.431481838226318359e+00
1.107999992370605469e+01,3.315710783004760742e+00
1.111999988555908203e+01,3.422320842742919922e+00
1.115999984741210938e+01,3.367191553115844727e+00
1.119999980926513672e+01,3.414894342422485352e+00
1.123999977111816406e+01,3.366094350814819336e+00
1.127999973297119141e+01,3.387346267700195312e+00
1.131999969482421875e+01,3.400025129318237305e+00
1.135999965667724609e+01,3.389131784439086914e+00
1.139999961853027344e+01,3.370517730712890625e+00
1.143999958038330078e+01,3.355277776718139648e+00
1.147999954223632812e+01,3.465198040008544922e+00
1.151999950408935547e+01,3.347342967987060547e+00
1.155999946594238281e+01,3.287570953369140625e+00
1.159999942779541016e+01,3.418380737304687500e+00
1.163999938964843750e+01,3.380756378173828125e+00
1.167999935150146484e+01,3.370446443557739258e+00
1.171999931335449219e+01,3.411940336227416992e+00
1.175999927520751953e+01,3.363602161407470703e+00
1.180000019073486328e+01,3.394474267959594727e+00
1.184000015258789062e+01,3.436192750930786133e+00
1.188000011444091797e+01,3.291103363037109375e+00
1.192000007629394531e+01,3.414905309677124023e+00
1.196000003814697266e+01,3.349169015884399414e+00
1.200000000000000000e+01,3.474580287933349609e+00
1.203999996185302734e+01,3.392378807067871094e+00
1.207999992370605469e+01,3.464059829711914062e+00
1.211999988555908203e+01,3.486567735671997070e+00
1.215999984741210938e+01,3.420004129409790039e+00
1.219999980926513672e+01,3.424943685531616211e+00
1.223999977111816406e+01,3.407494783401489258e+00
1.227999973297119141e+01,3.460778474807739258e+00
1.231999969482421875e+01,3.370598077774047852e+00
1.235999965667724609e+01,3.553630828857421875e+00
1.239999961853027344e+01,3.285339117050170898e+00
1.243999958038330078e+01,3.514346837997436523e+00
1.247999954223632812e+01,3.315303325653076172e+00
1.251999950408935547e+01,3.508477926254272461e+00
1.255999946594238281e+01,3.424733877182006836e+00
1.259999942779541016e+01,3.479280233383178711e+00
1.263999938964843750e+01,3.462068557739257812e+00
1.267999935150146484e+01,3.503369569778442383e+00
1.271999931335449219e+01,3.423418760299682617e+00
1.275999927520751953e+01,3.403489589691162109e+00
1.279999923706054688e+01,3.499264955520629883e+00
1.284000015258789062e+01,3.379225969314575195e+00
1.288000011444091797e+01,3.491096019744873047e+00
1.292000007629394531e+01,3.370780467987060547e+00
1.296000003814697266e+01,3.421532392501831055e+00
1.300000000000000000e+01,3.420491456985473633e+00
1.303999996185302734e+01,3.372712850570678711e+00
1.307999992370605469e+01,3.501850843429565430e+00
1.311999988555908203e+01,3.477422714233398438e+00
1.315999984741210938e+01,3.445526123046875000e+00
1.319999980926513672e+01,3.402051925659179688e+00
1.323999977111816406e+01,3.400086402893066406e+00
1.327999973297119141e+01,3.455931901931762695e+00
1.331999969482421875e+01,3.380018234252929688e+00
1.335999965667724609e+01,3.445892810821533203e+00
